provincia,country,lat,long,dates,value
,Afghanistan,33.93911000,67.70995300,2020-01-22,0
,Afghanistan,33.93911000,67.70995300,2020-01-23,0
,Afghanistan,33.93911000,67.70995300,2020-01-24,0
,Afghanistan,33.93911000,67.70995300,2020-01-25,0
,Afghanistan,33.93911000,67.70995300,2020-01-26,0
,Afghanistan,33.93911000,67.70995300,2020-01-27,0
,Afghanistan,33.93911000,67.70995300,2020-01-28,0
,Afghanistan,33.93911000,67.70995300,2020-01-29,0
,Afghanistan,33.93911000,67.70995300,2020-01-30,0
,Afghanistan,33.93911000,67.70995300,2020-01-31,0
,Afghanistan,33.93911000,67.70995300,2020-02-01,0
,Afghanistan,33.93911000,67.70995300,2020-02-02,0
,Afghanistan,33.93911000,67.70995300,2020-02-03,0
,Afghanistan,33.93911000,67.70995300,2020-02-04,0
,Afghanistan,33.93911000,67.70995300,2020-02-05,0
,Afghanistan,33.93911000,67.70995300,2020-02-06,0
,Afghanistan,33.93911000,67.70995300,2020-02-07,0
,Afghanistan,33.93911000,67.70995300,2020-02-08,0
,Afghanistan,33.93911000,67.70995300,2020-02-09,0
,Afghanistan,33.93911000,67.70995300,2020-02-10,0
,Afghanistan,33.93911000,67.70995300,2020-02-11,0
,Afghanistan,33.93911000,67.70995300,2020-02-12,0
,Afghanistan,33.93911000,67.70995300,2020-02-13,0
,Afghanistan,33.93911000,67.70995300,2020-02-14,0
,Afghanistan,33.93911000,67.70995300,2020-02-15,0
,Afghanistan,33.93911000,67.70995300,2020-02-16,0
,Afghanistan,33.93911000,67.70995300,2020-02-17,0
,Afghanistan,33.93911000,67.70995300,2020-02-18,0
,Afghanistan,33.93911000,67.70995300,2020-02-19,0
,Afghanistan,33.93911000,67.70995300,2020-02-20,0
,Afghanistan,33.93911000,67.70995300,2020-02-21,0
,Afghanistan,33.93911000,67.70995300,2020-02-22,0
,Afghanistan,33.93911000,67.70995300,2020-02-23,0
,Afghanistan,33.93911000,67.70995300,2020-02-24,0
,Afghanistan,33.93911000,67.70995300,2020-02-25,0
,Afghanistan,33.93911000,67.70995300,2020-02-26,0
,Afghanistan,33.93911000,67.70995300,2020-02-27,0
,Afghanistan,33.93911000,67.70995300,2020-02-28,0
,Afghanistan,33.93911000,67.70995300,2020-02-29,0
,Afghanistan,33.93911000,67.70995300,2020-03-01,0
,Afghanistan,33.93911000,67.70995300,2020-03-02,0
,Afghanistan,33.93911000,67.70995300,2020-03-03,0
,Afghanistan,33.93911000,67.70995300,2020-03-04,0
,Afghanistan,33.93911000,67.70995300,2020-03-05,0
,Afghanistan,33.93911000,67.70995300,2020-03-06,0
,Afghanistan,33.93911000,67.70995300,2020-03-07,0
,Afghanistan,33.93911000,67.70995300,2020-03-08,0
,Afghanistan,33.93911000,67.70995300,2020-03-09,0
,Afghanistan,33.93911000,67.70995300,2020-03-10,0
,Afghanistan,33.93911000,67.70995300,2020-03-11,0
,Afghanistan,33.93911000,67.70995300,2020-03-12,0
,Afghanistan,33.93911000,67.70995300,2020-03-13,0
,Afghanistan,33.93911000,67.70995300,2020-03-14,0
,Afghanistan,33.93911000,67.70995300,2020-03-15,0
,Afghanistan,33.93911000,67.70995300,2020-03-16,1
,Afghanistan,33.93911000,67.70995300,2020-03-17,1
,Afghanistan,33.93911000,67.70995300,2020-03-18,1
,Afghanistan,33.93911000,67.70995300,2020-03-19,1
,Afghanistan,33.93911000,67.70995300,2020-03-20,1
,Afghanistan,33.93911000,67.70995300,2020-03-21,1
,Afghanistan,33.93911000,67.70995300,2020-03-22,1
,Afghanistan,33.93911000,67.70995300,2020-03-23,1
,Afghanistan,33.93911000,67.70995300,2020-03-24,1
,Afghanistan,33.93911000,67.70995300,2020-03-25,2
,Afghanistan,33.93911000,67.70995300,2020-03-26,2
,Afghanistan,33.93911000,67.70995300,2020-03-27,2
,Afghanistan,33.93911000,67.70995300,2020-03-28,2
,Afghanistan,33.93911000,67.70995300,2020-03-29,2
,Afghanistan,33.93911000,67.70995300,2020-03-30,2
,Afghanistan,33.93911000,67.70995300,2020-03-31,5
,Afghanistan,33.93911000,67.70995300,2020-04-01,5
,Afghanistan,33.93911000,67.70995300,2020-04-02,10
,Afghanistan,33.93911000,67.70995300,2020-04-03,10
,Afghanistan,33.93911000,67.70995300,2020-04-04,10
,Afghanistan,33.93911000,67.70995300,2020-04-05,15
,Afghanistan,33.93911000,67.70995300,2020-04-06,18
,Afghanistan,33.93911000,67.70995300,2020-04-07,18
,Afghanistan,33.93911000,67.70995300,2020-04-08,29
,Afghanistan,33.93911000,67.70995300,2020-04-09,32
,Afghanistan,33.93911000,67.70995300,2020-04-10,32
,Afghanistan,33.93911000,67.70995300,2020-04-11,32
,Afghanistan,33.93911000,67.70995300,2020-04-12,32
,Afghanistan,33.93911000,67.70995300,2020-04-13,32
,Afghanistan,33.93911000,67.70995300,2020-04-14,40
,Afghanistan,33.93911000,67.70995300,2020-04-15,43
,Afghanistan,33.93911000,67.70995300,2020-04-16,54
,Afghanistan,33.93911000,67.70995300,2020-04-17,99
,Afghanistan,33.93911000,67.70995300,2020-04-18,112
,Afghanistan,33.93911000,67.70995300,2020-04-19,131
,Afghanistan,33.93911000,67.70995300,2020-04-20,135
,Afghanistan,33.93911000,67.70995300,2020-04-21,150
,Afghanistan,33.93911000,67.70995300,2020-04-22,166
,Afghanistan,33.93911000,67.70995300,2020-04-23,179
,Afghanistan,33.93911000,67.70995300,2020-04-24,188
,Afghanistan,33.93911000,67.70995300,2020-04-25,188
,Afghanistan,33.93911000,67.70995300,2020-04-26,207
